Issue key,Issue id,Status,Sprint,Assignee,Custom field (Story Points)
ODNA-93457,381895,Open,React Native - Sprint 12,govardhan.mudduluru,5
ODNA-93348,381321,Open,React Native - Sprint 12,sumanth.kanukuntla,
ODNA-89601,367586,In Progress,React Native Sprint 9,Parijat.Chandra,8
ODNA-87642,358682,In Progress,React Native - Sprint 12,daya.yadav,
ODNA-87639,358658,Pending test,React Native - Sprint 12,daya.yadav,5
ODNA-87638,358651,In Progress,React Native - Sprint 12,daya.yadav,1
ODNA-87620,358547,Pending test,React Native - Sprint 12,vasudha.sharma,5
ODNA-87578,358448,In Progress,React Native - Sprint 12,daya.yadav,3
ODNA-87366,357818,Pending test,React Native - Sprint 12,vasudha.sharma,3
ODNA-87352,357791,Open,React Native - Sprint 12,shefali.gupta,5
ODNA-87350,357789,Open,React Native - Sprint 12,janet.rivas-mendoza,5
ODNA-87345,357783,Pending test,React Native - Sprint 12,vasudha.sharma,5
ODNA-87010,357219,Pending test,React Native - Sprint 12,ayush.kumar,1
ODNA-86448,354999,Pending test,React Native Sprint 11,vasudha.sharma,5
ODNA-86447,354997,Pending test,React Native Sprint 11,vasudha.sharma,5
ODNA-86444,354994,Pending test,React Native Sprint 11,dinesh.vaithilingam,5
ODNA-86427,354933,In Progress,React Native - Sprint 12,janet.rivas-mendoza,1
ODNA-86416,354906,Pending test,React Native - Sprint 12,vasudha.sharma,1
ODNA-86414,354904,Pending test,React Native Sprint 11,vasudha.sharma,5
ODNA-86412,354902,In Progress,React Native Sprint 11,shefali.gupta,5
ODNA-86409,354897,In Progress,React Native - Sprint 12,avnish.chuchra,5
ODNA-86406,354894,Pending test,React Native Sprint 11,ayush.kumar,5
ODNA-86405,354893,In Progress,React Native - Sprint 12,janet.rivas-mendoza,3
ODNA-84306,346040,In Progress,React Native - Sprint 12,avnish.chuchra,3
